# HSK 3 (part 2) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
604 我/早上/吃了/两个/面包。 | I had two bread rolls this morning.
604 这家/店的/面包/很/好吃。 | The bread in this shop is very good.
611 我/明白/你的/意思了。 | I understand what you mean.
611 你/明白/了吗？ | Do you understand?
618 请/帮/我/拿/一杯/水。 | Please get me a glass of water.
618 他/手里/拿着/一本书。 | He's holding a book.
620 我/每个/周末/都/去/看/奶奶。 | I visit my grandma every weekend.
620 奶奶/做的/饺子/最/好吃。 | Grandma's dumplings are the best.
623 汉语/难/不/难？ | Is Chinese hard?
623 这个/问题/太/难了。 | This question is too hard.
625 我/是/南方人。 | I'm from the south.
625 南方/经常/下雨。 | It often rains in the south.
626 你/别/难过了。 | Don't be sad.
626 他/考得/不好，/很/难过。 | He did badly in the exam and is very upset.
636 你/上/几年级？ | What grade are you in?
636 我/是/大学/二年级的/学生。 | I'm a second-year university student.
638 我们的/老师/很/年轻。 | Our teacher is very young.
638 年轻人/都/喜欢/上网。 | Young people all like going online.
639 树上/有/一只/鸟。 | There's a bird in the tree.
639 我/喜欢/听/鸟/叫。 | I like listening to the birds sing.
646 他/学习/非常/努力。 | He studies very hard.
646 只要/努力，/就/能/成功。 | As long as you work hard, you can succeed.
651 我/最近/胖了。 | I've put on weight recently.
651 这只/猫/太/胖了。 | This cat is too fat.
653 请/把/盘子/拿/过来。 | Please bring the plates over.
653 盘子里/有/很多/水果。 | There's a lot of fruit on the plate.
655 我/喜欢/爬山。 | I like hiking.
655 他们/上个/周末/去/爬山了。 | They went hiking last weekend.
664 你/喝/啤酒/吗？ | Do you drink beer?
664 冰箱里/有/几瓶/啤酒。 | There are a few bottles of beer in the fridge.
668 这个/瓶子/是/空的。 | This bottle is empty.
668 他/把/瓶子/扔了。 | He threw the bottle away.
671 这双/皮鞋/很/贵。 | These leather shoes are expensive.
671 他/每天/都/穿/皮鞋/上班。 | He wears leather shoes to work every day.
677 你/会/骑/自行车/吗？ | Can you ride a bike?
677 他/骑着/车/去/学校。 | He rides to school.
689 飞机/几点/起飞？ | What time does the plane take off?
689 因为/下雨，/飞机/不能/起飞。 | The plane can't take off because of the rain.
690 这件/事/很/奇怪。 | This is very strange.
690 他/今天/有点儿/奇怪。 | He's a bit odd today.
692 他/从/椅子上/站了/起来。 | He stood up from his chair.
692 快/起来，/已经/八点了！ | Get up, it's already eight o'clock!
696 我/听/不/清楚。 | I can't hear clearly.
696 请/你/说/清楚/一点儿。 | Please say it a bit more clearly.
697 我/想/请假/去/看/病。 | I'd like to take time off to see a doctor.
697 他/今天/请假/了。 | He has taken today off.
702 其实/我/也/不/知道。 | Actually, I don't know either.
702 这个/问题/其实/很/简单。 | This question is actually very simple.
703 你/还有/其他/问题/吗？ | Do you have any other questions?
703 其他/人/都/走了。 | Everyone else has left.
704 我/最/喜欢/秋天。 | Autumn is my favorite season.
704 秋天/的/天气/很/凉快。 | The weather in autumn is nice and cool.
716 她/买了/一条/新/裙子。 | She bought a new skirt.
716 这条/裙子/太/短了。 | This skirt is too short.
719 我们/先/吃饭，/然后/去/看/电影。 | Let's eat first and then go and see a movie.
719 他/先/洗/手，/然后/吃饭。 | He washes his hands first, then eats.
727 你/认为/怎么样？ | What do you think?
727 我/认为/这个/办法/很好。 | I think this is a good way to do it.
729 他/工作/很/认真。 | He works very conscientiously.
729 请/认真/听/老师/讲。 | Please listen carefully to the teacher.
730 她/对/客人/很/热情。 | She's very welcoming to guests.
730 谢谢/你的/热情/帮助。 | Thank you for your kind help.
733 这个/字/很/容易/写。 | This character is easy to write.
733 学/汉语/不/容易。 | Learning Chinese isn't easy.
734 如果/明天/下雨，/我们/就/不/去了。 | If it rains tomorrow, we won't go.
734 如果/你/有/时间，/就/来/我家/吧。 | If you have time, come over to my place.
737 我/忘了/带/伞。 | I forgot to bring an umbrella.
737 这把/伞/是/谁的？ | Whose umbrella is this?
745 我/每天/晚上/上网/一个/小时。 | I go online for an hour every evening.
745 你/可以/上网/查/一下。 | You can look it up online.
759 妈妈/生气/了。 | Mom is angry.
759 别/生气，/我/不是/故意的。 | Don't be angry, I didn't mean it.
762 我/听到/了/奇怪的/声音。 | I heard a strange sound.
762 她的/声音/很/好听。 | She has a lovely voice.
770 这件/衣服/我/可以/试/一下/吗？ | May I try this on?
770 你/可以/试/一下/这个/办法。 | You could try this way.
780 世界/上/有/很多/国家。 | There are many countries in the world.
780 他/想/去/世界/各地/旅行。 | He wants to travel around the world.
787 他/又/高/又/瘦。 | He's tall and thin.
787 她/比/以前/瘦了。 | She's thinner than before.
798 路/两边/有/很多/树。 | There are lots of trees along both sides of the road.
798 这棵/树/很/高。 | This tree is very tall.
801 我/买了/一双/新/鞋。 | I bought a new pair of shoes.
